8400	30	3
colorCode	subgenome	chr	start	end
1	1	0	983	1889	
1	2	2	1053	1608	
1	3	4	738	1471	
2	1	4	130	735	
2	2	1	318	734	
2	3	1	1177	1630	
3	1	0	3131	3208	
3	1	7	192	779	
3	2	5	856	1206	
3	2	6	614	973	
3	3	0	1931	2208	
3	3	0	2389	2558	
3	3	0	2844	3062	
3	3	0	3257	3358	
4	1	0	2209	2388	
4	1	0	2560	2843	
4	2	2	39	507	
4	3	6	996	1498	
5	1	0	54	278	
5	1	0	455	786	
5	2	7	936	1345	
5	3	5	1676	1999	
6	1	5	0	855	
6	2	5	1207	1663	
6	2	6	8	613	
6	3	1	2	258	
6	3	1	738	1174	
7	1	3	22	528	
7	2	2	681	1052	
7	3	3	881	1247	
9050	22	3
colorCode	subgenome	chr	start	end
1	1	0	26	907	
1	2	13	370	970	
1	3	16	1	660	
2	1	1	46	500	
2	2	14	153	444	
2	3	15	34	502	
3	1	2	4	486	
3	2	3	545	812	
3	2	6	559	831	
3	3	17	32	966	
4	1	3	1	396	
4	2	8	3	380	
4	3	10	3	480	
5	1	4	49	543	
5	2	6	5	470	
5	3	13	8	294	
6	1	5	0	789	
6	2	7	122	1012	
6	3	12	13	653	
7	1	9	13	254	
7	2	11	67	423	
7	3	18	1	420	
10997	21	3
colorCode	subgenome	chr	start	end
1	1	2	959	1639	
1	2	4	18	554	
1	3	3	9	663	
2	1	3	1122	1631	
2	2	1	1796	2210	
2	3	3	738	1121	
3	1	2	118	745	
3	2	1	42	851	
3	3	8	6	826	
4	1	9	104	480	
4	2	6	50	436	
4	3	9	480	1128	
5	1	4	881	1417	
5	2	1	1290	1727	
5	3	5	1052	1292	
6	1	9	1457	1892	
6	2	5	25	501	
6	3	10	36	458	
7	1	6	565	1016	
7	2	1	897	1216	
7	3	7	60	396	
19515	0	1
colorCode	subgenome	chr	start	end
