8400	30	3
colorCode	subgenome	chr	start	end
1	1	0	982	1888	
1	2	2	1052	1607	
1	3	4	738	1471	
2	1	4	130	735	
2	2	1	318	734	
2	3	1	1177	1629	
3	1	0	3128	3205	
3	1	7	192	779	
3	2	5	855	1205	
3	2	6	614	974	
3	3	0	1930	2206	
3	3	0	2387	2556	
3	3	0	2841	3059	
3	3	0	3254	3355	
4	1	0	2207	2386	
4	1	0	2557	2840	
4	2	2	39	507	
4	3	6	997	1499	
5	1	0	54	278	
5	1	0	455	785	
5	2	7	936	1345	
5	3	5	1674	1997	
6	1	5	0	854	
6	2	5	1206	1661	
6	2	6	8	613	
6	3	1	2	258	
6	3	1	738	1174	
7	1	3	22	527	
7	2	2	680	1051	
7	3	3	880	1246	
9050	22	3
colorCode	subgenome	chr	start	end
1	1	0	-1	-1	
1	2	0	-1	-1	
1	3	0	-1	-1	
2	1	0	-1	-1	
2	2	0	-1	-1	
2	3	0	-1	-1	
3	1	0	-1	-1	
3	2	0	-1	-1	
3	2	0	-1	-1	
3	3	0	-1	-1	
4	1	0	-1	-1	
4	2	0	-1	-1	
4	3	0	-1	-1	
5	1	0	-1	-1	
5	2	0	-1	-1	
5	3	0	-1	-1	
6	1	0	-1	-1	
6	2	0	-1	-1	
6	3	0	-1	-1	
7	1	0	-1	-1	
7	2	0	-1	-1	
7	3	0	-1	-1	
10997	21	3
colorCode	subgenome	chr	start	end
1	1	2	959	1639	
1	2	4	18	554	
1	3	3	9	663	
2	1	3	1122	1631	
2	2	1	1795	2209	
2	3	3	738	1121	
3	1	2	118	745	
3	2	1	42	851	
3	3	8	6	826	
4	1	9	104	480	
4	2	6	50	437	
4	3	9	480	1128	
5	1	4	880	1416	
5	2	1	1290	1726	
5	3	5	1052	1292	
6	1	9	1457	1892	
6	2	5	25	501	
6	3	10	36	456	
7	1	6	566	1016	
7	2	1	897	1216	
7	3	7	61	397	
19515	0	1
colorCode	subgenome	chr	start	end
