8400	30	3	peachRange			
colorCode	subgenome	chr	start	end
1	1	1	21529864	31564343
1	2	3	17763522	21970131
1	3	5	13017501	18415539
2	1	5	3099974	13001024
2	2	2	14863983	20373535
2	3	2	23789513	26627917
3	1	1	42898831	44278243
3	1	8	7390470	17554639
3	2	6	15090618	21587906
3	2	7	15420553	18412323
3	3	1	31912386	33853783
3	3	1	35191178	36533064
3	3	1	39639500	41931905
3	3	1	45342882	46846857
4	1	1	33854191	35184543
4	1	1	36612429	39556762
4	2	3	811766	7326535
4	3	7	18578902	21959754
5	1	1	860315	3746345
5	1	1	7779473	11909008
5	2	8	18901154	21794893
5	3	6	25602327	28120825
6	1	6	5859	13956146
6	2	6	21591991	25444612
6	2	7	756863	15375839
6	3	2	133921	12421949
6	3	2	20409210	23773290
7	1	4	226893	3843524
7	2	3	13402350	17762465
7	3	4	8781670	14967626
9050	22	3	vitis				
colorCode	subgenome	chr	start	end
1	1	1	448552	22748079
1	2	14	17922968	30134255
1	3	17	23971	12796714
2	1	2	706022	9012738
2	2	15	14675136	19339052
2	3	16	1064294	21934684
3	1	3	111028	9394676
3	2	4	17553881	23045682
3	2	7	14816532	19580451
3	3	18	494573	19625488
4	1	4	69849	6435577
4	2	9	157924	9605317
4	3	11	266568	7108819
5	1	5	844628	9961043
5	2	7	138291	7731375
5	3	14	230823	8305650
6	1	6	96179	20359587
6	2	8	5753331	21930233
6	3	13	171572	23971913
7	1	10	238997	5067840
7	2	12	2329761	10215250
7	3	19	76044	9498066
10997	21	3	cacao		
colorCode	subgenome	chr	start	end
1	1	2	12716774	27462648
1	2	4	349021	14314443
1	3	3	208385	16091087
2	1	3	19982135	24212437
2	2	1	27207631	30674661
2	3	3	16741484	19970692
3	1	2	1350572	7237080
3	2	1	315357	7988483
3	3	8	43353	6712481
4	1	9	739576	3437504
4	2	6	1071819	9467758
4	3	9	3437504	9589803
5	1	4	18966341	23343107
5	2	1	21083375	26683534
5	3	5	23329957	25395907
6	1	9	23851693	28019603
6	2	5	541440	5362779
6	3	10	333882	12953021
7	1	6	10864133	14795052
7	2	1	8722499	15224371
7	3	7	511932	6542889
19515	0	1	amborella
colorCode	subgenome	chr	start	end
